                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0352,                0.55683,                 1.0135,                0.93582,                0.94234,                0.96654,                0.55351,                 1.4633,                0.74269,                 1.2559,               0.006634,               0.006634,               0.006634
                     36,                 1.0515,                0.54887,                 1.0011,                0.93245,                0.94234,                0.95918,                0.55346,                 1.4685,                0.61815,                 1.2704,               0.006535,               0.006535,               0.006535
                     37,                 1.0317,                 0.5204,                 1.0247,                 0.9363,                0.95346,                0.96314,                0.57941,                 1.3904,                0.61484,                 1.2333,               0.006436,               0.006436,               0.006436
                     38,                0.99016,                0.49733,                 1.0152,                0.94232,                0.94191,                0.96406,                0.56292,                 1.4527,                0.64202,                 1.2603,               0.006337,               0.006337,               0.006337
                     39,                 1.0329,                0.52245,                0.99924,                0.94288,                0.95174,                0.97029,                0.58552,                 1.4001,                0.60427,                 1.2341,               0.006238,               0.006238,               0.006238
                     40,                 1.0196,                0.52541,                0.98571,                0.94529,                0.92613,                0.96528,                0.58038,                 1.4108,                0.62202,                 1.2408,               0.006139,               0.006139,               0.006139
                     41,                 1.0072,                0.50853,                0.98946,                 0.9327,                0.94054,                0.96458,                0.57099,                 1.4441,                0.63754,                 1.2639,                0.00604,                0.00604,                0.00604
                     42,                 1.0061,                0.50943,                0.98669,                0.92435,                0.94664,                  0.967,                0.58831,                 1.3902,                0.63207,                 1.2453,               0.005941,               0.005941,               0.005941
                     43,                 1.0031,                0.50102,                 0.9914,                0.92591,                0.94955,                0.96869,                0.55609,                 1.4955,                0.63911,                 1.3021,               0.005842,               0.005842,               0.005842
                     44,                0.99336,                0.51263,                0.98448,                0.94022,                0.95676,                0.97306,                0.58991,                 1.3811,                0.60942,                 1.2352,               0.005743,               0.005743,               0.005743
                     45,                0.94326,                0.49733,                0.98273,                0.94153,                0.94414,                0.96906,                0.58251,                 1.4136,                0.59849,                 1.2445,               0.005644,               0.005644,               0.005644
                     46,                 1.0077,                0.52589,                0.99556,                0.93957,                0.94775,                0.97222,                0.59347,                 1.3949,                0.62079,                 1.2373,               0.005545,               0.005545,               0.005545
                     47,                0.92878,                0.48864,                0.97994,                0.94529,                0.93402,                0.96687,                0.57643,                 1.4327,                 0.6027,                 1.2521,               0.005446,               0.005446,               0.005446
                     48,                0.90367,                0.48482,                 0.9661,                0.94375,                0.93694,                0.96746,                0.58735,                 1.4121,                0.59863,                 1.2415,               0.005347,               0.005347,               0.005347
                     49,                0.94142,                0.48177,                0.98902,                 0.9445,                0.94234,                0.96602,                0.56464,                 1.4548,                0.60972,                 1.2522,               0.005248,               0.005248,               0.005248
                     50,                 0.9418,                0.48372,                0.97571,                 0.9405,                0.94955,                0.96733,                0.56608,                 1.4412,                0.61916,                  1.251,               0.005149,               0.005149,               0.005149
                     51,                0.92507,                0.49234,                0.98096,                0.93756,                0.94696,                0.96599,                0.57971,                 1.3911,                0.60345,                 1.2226,                0.00505,                0.00505,                0.00505
