                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91268,                0.50542,                0.97099,                0.89156,                0.85196,                0.89648,                0.63939,                 1.0618,                 0.5441,                 1.0437,               0.006634,               0.006634,               0.006634
                     36,                0.90656,                0.49982,                0.97121,                0.88711,                0.85507,                0.89443,                0.63461,                 1.0528,                0.54409,                 1.0426,               0.006535,               0.006535,               0.006535
                     37,                0.89586,                0.50096,                0.97018,                0.94445,                 0.8232,                0.88957,                0.63587,                 1.0637,                0.53605,                 1.0522,               0.006436,               0.006436,               0.006436
                     38,                0.89236,                0.49176,                0.96736,                0.90343,                0.85203,                0.90409,                0.64828,                 1.0621,                0.52971,                 1.0501,               0.006337,               0.006337,               0.006337
                     39,                0.88254,                0.48513,                0.96271,                0.90106,                0.86759,                 0.9023,                 0.6426,                 1.0574,                0.51313,                  1.048,               0.006238,               0.006238,               0.006238
                     40,                 0.8736,                0.47722,                0.95811,                0.90785,                0.86675,                0.90575,                0.65507,                 1.0478,                0.51921,                  1.048,               0.006139,               0.006139,               0.006139
                     41,                0.86615,                0.47651,                  0.955,                0.90208,                0.85963,                0.90109,                0.65363,                 1.0463,                 0.5082,                 1.0433,                0.00604,                0.00604,                0.00604
                     42,                0.85764,                0.46874,                0.95446,                0.86694,                0.88155,                 0.8955,                0.65087,                 1.0436,                0.51878,                 1.0586,               0.005941,               0.005941,               0.005941
                     43,                0.85096,                0.46778,                0.95266,                0.87981,                0.86096,                0.90391,                0.65477,                 1.0336,                0.51414,                 1.0511,               0.005842,               0.005842,               0.005842
                     44,                0.84539,                0.46476,                0.94924,                0.87968,                0.86683,                0.89302,                 0.6488,                 1.0399,                0.51826,                 1.0499,               0.005743,               0.005743,               0.005743
                     45,                0.83805,                0.46115,                0.94503,                0.93389,                0.84198,                 0.8959,                0.65902,                 1.0264,                0.51484,                 1.0366,               0.005644,               0.005644,               0.005644
                     46,                0.82419,                0.45462,                0.94151,                0.94299,                 0.8449,                 0.9045,                0.66106,                 1.0326,                0.51696,                 1.0473,               0.005545,               0.005545,               0.005545
                     47,                0.82476,                0.45036,                0.94109,                0.89815,                 0.8533,                0.90156,                0.66074,                 1.0242,                0.50606,                 1.0401,               0.005446,               0.005446,               0.005446
                     48,                 0.8132,                 0.4449,                0.93802,                0.92706,                0.84267,                0.90827,                0.66744,                  1.018,                0.50348,                   1.04,               0.005347,               0.005347,               0.005347
                     49,                 0.8075,                0.44336,                0.93221,                0.90684,                0.86644,                0.90751,                0.67195,                 1.0108,                0.50377,                 1.0276,               0.005248,               0.005248,               0.005248
                     50,                0.80456,                0.44427,                 0.9346,                0.88302,                0.89234,                0.91152,                0.67585,                 1.0136,                0.51104,                 1.0348,               0.005149,               0.005149,               0.005149
                     51,                0.79454,                  0.437,                0.93203,                0.89509,                0.88092,                0.90648,                 0.6714,                 1.0108,                0.51385,                 1.0354,                0.00505,                0.00505,                0.00505
                     52,                0.78904,                0.43473,                  0.925,                0.90596,                0.86022,                0.90838,                0.67085,                 1.0071,                0.50296,                 1.0259,               0.004951,               0.004951,               0.004951
                     53,                0.77563,                0.42867,                0.92394,                0.90899,                0.86669,                 0.9075,                0.67197,                 1.0036,                0.50539,                 1.0294,               0.004852,               0.004852,               0.004852
